Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: bufferSize,Param: inputFile,Param: nbRows,Param: quoted,Param: wrapWithBufferedReader
SuperCsvParser,avgt,1,50,1968554.761,2916.644187,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
SuperCsvParser,avgt,1,50,1606424.382,3522.459214,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
SuperCsvParser,avgt,1,50,6261176.903,15521.06855,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
SuperCsvParser,avgt,1,50,5256495.202,59953.03968,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
UnivocityParser,avgt,1,50,4467.261653,25.10056384,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
UnivocityParser,avgt,1,50,4447.204645,22.54417213,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
UnivocityParser,avgt,1,50,4476.802796,28.41199699,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
UnivocityParser,avgt,1,50,4457.703856,30.43630774,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
UnivocityParser,avgt,1,50,4603.880704,21.29531657,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
UnivocityParser,avgt,1,50,4568.005367,29.36644008,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
UnivocityParser,avgt,1,50,5994.071343,31.67939193,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
UnivocityParser,avgt,1,50,5729.468283,30.32760982,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
UnivocityParser,avgt,1,50,20270.96825,94.26257689,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
UnivocityParser,avgt,1,50,17630.42257,80.44513507,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
UnivocityParser,avgt,1,50,155576.2142,1420.452594,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
UnivocityParser,avgt,1,50,132168.3391,994.9952129,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
UnivocityParser,avgt,1,50,1459677.868,4765.804712,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
UnivocityParser,avgt,1,50,1219204.746,6953.808009,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
UnivocityParser,avgt,1,50,4639997.246,15966.02626,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
UnivocityParser,avgt,1,50,3909024.044,34455.84307,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
WayIoParser,avgt,1,50,29.3905843,0.184796383,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
WayIoParser,avgt,1,50,28.39369215,0.080489879,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
WayIoParser,avgt,1,50,52.38821858,0.13516518,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
WayIoParser,avgt,1,50,44.12719497,0.197311962,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
WayIoParser,avgt,1,50,250.1015901,0.603690093,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
WayIoParser,avgt,1,50,201.5067099,0.65795436,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
WayIoParser,avgt,1,50,2522.891128,37.59416154,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
WayIoParser,avgt,1,50,1836.427666,5.092726387,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
WayIoParser,avgt,1,50,23610.58121,221.8801824,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
WayIoParser,avgt,1,50,17624.63409,79.0388457,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
WayIoParser,avgt,1,50,234847.7442,2465.979288,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
WayIoParser,avgt,1,50,174649.8432,193.7230797,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
WayIoParser,avgt,1,50,2293163.626,3041.273521,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
WayIoParser,avgt,1,50,1764296.308,41907.04555,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
WayIoParser,avgt,1,50,7435385.655,86213.89325,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
WayIoParser,avgt,1,50,5702440.663,106427.0244,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
